              MAX_THREAD  GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
                 604             483.014             46.0852             15.4574             476.134
                 608             482.868             45.1339             15.3147             475.793
                 612             483.033             44.6384             15.6343             475.757
                 616             482.864             45.6407             15.5237             476.321
                 620             483.282             38.3023             15.4342             473.704
                 624             483.023             44.0444             15.2841             475.471
                 628             483.115             45.9646             15.2478             476.263
                 632             483.512             41.3225             15.1534             474.817
                 636                 483             42.9097             15.0716             475.052
                 640             483.431             43.9489             14.8981             475.209
                 644             482.804             45.8024             15.4965             476.201
                 648             482.839             45.6781              15.417             476.034
                 652              483.29             45.5606             15.3367             475.978
                 656             483.014             44.4227             15.1649             475.433
                 660             483.077             44.1044             15.1516             475.477
                 664             483.224             45.6721             15.0668             475.862
                 668             482.886             45.1555              14.987             475.549
                 672             482.743             43.6317             14.8147             474.996
                 676             483.221             68.4196             19.4017              485.05
                 680             482.919             68.2746             19.2762             484.688
                 684             482.868             68.1807             19.1861             484.781
                 688             482.644             68.0264             18.9978             484.675
                 692             482.564             68.3499             18.9707             484.583
                 696             482.144             68.2093             18.8479             484.168
                 700             482.624              68.034             18.7676             484.441
                 704             482.177             67.8562              18.558             483.928
                 708             482.885             68.1709              19.081             484.505
                 712             482.889             68.0412             18.9624             484.617
                 716             483.094             67.9616             18.8755             484.598
                 720             482.675             67.8239             18.6949             484.619
                 724             483.552              66.707             18.6746             484.222
                 728             482.923             67.8902             18.5724             484.449
                 732             483.044             67.7989             18.4955             484.399
                 736             483.854              67.665             18.3186             484.397
                 740             483.554             67.8603             18.5525             484.612
                 744             483.313             67.7642             18.4355             484.453
                 748             482.869             67.7048             18.3655             484.332
                 752               482.8             67.5596             18.1725              483.86
                 756             482.726             67.7141             18.1863             484.073
                 760             483.032             67.5927             18.0796             484.051
                 764             482.524             67.5244             18.0267             483.935
                 768             482.808             64.2651             17.7539             483.188
                 772             482.808             67.5764             18.4483             484.295
                 776              482.97              64.584             18.3809             483.314
                 780             482.754             66.2413             18.3088             483.574
                 784              482.95             67.2918             18.1324             484.052
                 788             482.933             67.4463             18.1029             484.113
                 792             483.069             67.3148             18.0236             484.188
                 796             483.088             64.1166             17.9259             483.081
                 800             482.965             67.1155              17.763             484.035
                 804             482.588             67.1084             17.9756               483.8
                 808              482.91             67.2076             17.8695             484.161
                 812             482.884              67.151              17.759             484.034
                 816             482.446             67.0252             17.5941             483.752
                 820              483.08             66.1111              17.563             483.563
                 824              483.39              67.106             17.4644             483.964
                 828             482.956             64.0598             17.3892              482.73
                 832             482.494             66.9236             17.2222             483.528
                 836              482.86             67.1004             17.7338             484.142
                 840             483.133             66.9699             17.6332             483.934
                 844             482.981              63.402             17.5767             482.746
                 848             483.132              66.723             17.4078             483.718
                 852             482.934             62.8346             17.4217             482.262
                 856             482.977             64.3007             17.3255              482.91
                 860             483.187             66.8065             17.2745             483.925
                 864             483.452             66.3296             17.0978             483.805
                 868             483.795             60.8219             17.2912             482.172
                 872             483.553             60.5495             17.2142             481.764
                 876             482.821             58.2059             17.1456              480.72
                 880             482.786             63.4695             16.9889             482.498
                 884              482.89             60.7791             17.0021             481.373
                 888             483.256             61.3912              16.919             481.928
                 892             483.241             63.4282             16.8659             482.553
                 896             483.142             66.3402              16.672             483.366
                 900             483.417             63.6459             17.2916             482.898
                 904             483.204             63.1775             17.2026             482.583
                 908             482.949             66.0923             17.1417             483.341
                 912             483.321             63.3071             17.0223              482.73
                 916             483.666             65.5953             16.9961             483.568
                 920             483.162             66.4923             16.9265             483.793
                 924             482.982             66.5475             16.8558              483.19
